2026-08-17 20:12:16 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:12:16 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 20:36:46 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:36:46 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 20:37:56 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:37:56 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 20:38:29 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:38:29 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 20:41:14 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:41:27 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 20:46:10 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:46:10 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 20:58:43 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 20:58:43 | INFO    | Detector   | Perception Engine Ready!
2026-08-17 21:27:14 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-17 21:27:14 | INFO    | Detector   | Perception Engine Ready!
2026-08-21 23:54:37 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-21 23:54:37 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 00:51:42 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-22 00:51:42 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 00:55:02 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt
2026-08-22 00:55:02 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:09:18 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:09:18 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:09:30 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:09:30 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:09:30 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:09:30 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:09:30 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:09:30 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:09:30 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:09:30 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:11:46 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:11:46 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:11:57 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:11:57 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:11:57 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:11:57 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:11:57 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:11:57 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:11:57 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:11:57 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:12:47 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:12:47 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:21:21 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:21:21 | INFO    | Detector   | Perception Engine Ready!
2026-08-22 01:24:41 | INFO    | Detector   | Loading Perception Model: data/weights/yolov8n.pt (conf=0.4, size=480)
2026-08-22 01:24:41 | INFO    | Detector   | Perception Engine Ready!
